Fixture,Time,Flow
Bidet,2019,380416.0
Bidet,2020,398617.0
Kitchenfaucet,2019,802757.0
Kitchenfaucet,2020,1631032.0
Shower,2019,1876084.0
Shower,2020,2820991.0
Washbasin,2019,810182.0
Washbasin,2020,1046162.0
